用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
矩阵的相似对角化,保密,曾公千古,,一级评论,5,0,2024-02-07 19:57:50
叶小小sunny,保密,曾公千古,,一级评论,5,0,2024-01-10 19:47:31
SGFLZLM,保密,老英雄👍,,一级评论,2,0,2023-12-30 14:21:48
默笙萧以何66,保密,世事洞察皆学问，人情练达即文章,,一级评论,4,1,2023-12-20 17:55:04
呀吼呀吼呀,保密,1 资质平凡 却能自省校正,,一级评论,5,0,2023-12-11 22:50:01
白嫖老弟,保密,我突然发现做到那些，就算成了那么厉害也没啥意思，而且那么黑暗的时候这么一股清流能到那个位置？,呀吼呀吼呀,二级评论,3,0,2023-12-26 00:02:02
布谷小鸭子,女,这是哪位老师的讲解呀,,一级评论,5,0,2023-11-02 15:16:05
啊恺噢,女,郦波,布谷小鸭子,二级评论,4,0,2023-11-06 08:00:44
13363682119,保密,为什么字幕有些“原文”都被遮住了？,,一级评论,5,0,2023-10-23 17:11:45
13363682119,保密,学习了,,一级评论,5,0,2023-10-23 08:06:49
smallluoluo1,保密,案头不是还有一本胡文忠公全集吗,,一级评论,4,0,2023-10-07 18:59:18
百事不全,保密,多年前看过一遍，近日再看，且喜且思。,,一级评论,3,2,2023-09-16 19:34:55
Hhjvjghvv,保密,为什么只有图啊,,一级评论,2,0,2023-08-23 22:43:40
愈寧,男,谢谢up,,一级评论,6,1,2023-08-09 14:02:36
cdenjis,男,受益匪浅，谢谢up！[打call][打call],,一级评论,5,3,2023-08-06 23:51:53
酒劍秈米,男,郦波老师作品，以前看印象深刻,,一级评论,5,0,2023-06-17 16:57:11
月亮的小学生,男,背景音乐可以，求告知,,一级评论,4,2,2023-06-15 19:58:07
典型大学生,保密,感谢up主，不然我只有去官网搜了,,一级评论,3,1,2023-06-02 23:18:52
-_Calcite_-,保密,剃头,,一级评论,5,3,2023-05-28 22:01:17
躺平派艺术家,保密,当初推翻满清就好了,,一级评论,4,1,2023-04-29 14:35:34
Navigator丶林肯,保密,为啥不是百家讲坛原视频？而是封面换了？想看看视频却只能看到一张图片[吃瓜][doge],,一级评论,3,0,2023-04-22 18:40:50
踏实向前人生由我,女,侵权了,Navigator丶林肯,二级评论,2,0,2023-05-15 14:36:24
Navigator丶林肯,保密,为啥不是百家讲坛原视频？而是封面换了？想看看视频却只能看到一张图片[吃瓜][doge],,一级评论,3,0,2023-04-22 18:40:50
踏实向前人生由我,女,侵权了,Navigator丶林肯,二级评论,2,0,2023-05-15 14:36:24
Navigator丶林肯,保密,封面不变？,,一级评论,3,0,2023-04-17 20:04:34
手砍冰激凌大王,保密,没有遮挡的原版谁有[打call][打call],,一级评论,5,1,2023-03-30 12:51:42
书爱一城,女,世上竟有如此执着的小偷，执着的小偷遇见执着的笨小孩呀，铜锅遇到了个铁刷把,,一级评论,5,1,2023-01-07 14:16:34
乐盈朝暮,男,三连感谢,,一级评论,6,0,2022-12-29 09:43:12
白玉娇月,保密,来自喜马拉雅,,一级评论,5,1,2022-12-10 11:16:48
嘉兴小红娘官方,保密,剃头,,一级评论,5,0,2022-11-27 12:22:25
美魔女蓉儿,保密,傲慢  堕落,,一级评论,3,1,2022-09-20 21:57:22
m小乖m,女,有没有文字版,,一级评论,4,2,2022-09-20 07:58:46
vivi灵2023,女,好[打call][打call][打call],,一级评论,4,1,2022-09-06 11:12:35
始皇迷弟,男,[tv_点赞],vivi灵2023,二级评论,6,0,2022-09-06 18:44:15
傲娇的萨克斯,保密,每天两集，刚刚好,,一级评论,4,1,2022-08-17 20:09:27
Reikoo_,保密,谢谢分享！！学到了很多,,一级评论,5,0,2022-08-11 21:14:45
始皇迷弟,男,👍,Reikoo_,二级评论,6,0,2022-08-11 21:52:19
hsdp,保密,彻夜读书，白天睡觉？,,一级评论,5,0,2022-07-29 10:08:00
xunshe,保密,古代活60多岁，算是长命了吧,,一级评论,5,2,2022-07-26 21:47:49
橘柚香の,男,很长了，现代一小半的人都活不到，医术精进疾病也更多了,xunshe,二级评论,6,0,2023-07-11 08:41:19
城里的尘A,保密,中国人所说长命百岁，即是60岁开始就算长命百岁了。古人对数字很灵活，不拘泥刻板，例如“传令三军”、“水淹七军”、“十八路诸侯”、“七十二贤人”，这些数字并不是固定的，“十八路诸侯”，未必有十八路。,xunshe,二级评论,5,1,2023-11-08 13:44:21
极第,保密,回复 @城里的尘A :谢谢科普[笑哭]我还以为古代很严谨呢,xunshe,二级评论,6,0,2024-01-07 13:57:19
城里的尘A,保密,"回复 @极第 : 该严谨时，就清清楚楚；不毕严谨时，就含含糊糊。
甲：几个人过去了？
乙：五六七八个吧。",xunshe,二级评论,5,0,2024-01-08 16:05:09
极第,保密,回复 @城里的尘A :[喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣],xunshe,二级评论,6,0,2024-01-08 16:08:15
PLC技术,保密,太好了，但中途会突然有比较大的背景音，这有点不太喜欢😊,,一级评论,5,2,2022-07-10 19:56:45
Jacob2024,保密,来个全套的呗,,一级评论,5,2,2022-06-28 12:27:40
Jacob2024,保密,原来是你,Jacob2024,二级评论,5,0,2022-06-28 12:28:00
始皇迷弟,男,好的，已更新,Jacob2024,二级评论,6,1,2022-07-01 08:03:00
不爱肉肉的兔叽,保密,支持支持，支持up主希望继续更新，下部[高考加油][高考加油],,一级评论,4,2,2022-06-24 10:59:46
始皇迷弟,男,栓q,不爱肉肉的兔叽,二级评论,6,0,2022-06-24 22:19:30
乐盈朝暮,男,再听一遍，做更好的自己,,一级评论,6,0,2024-02-28 21:40:01
bili_29491208753,保密,彭玉麟是在梅小姑死后才结的婚,,一级评论,2,0,2022-08-06 22:23:19
